id,miejscowosc,ulica,numer_domu,kod_pocztowy
10750,Smarchowice Wielkie,ul. Brzegowa,58,46-100
10751,Poznań,ul. Lutycka,93,60-478
10752,Warszawa,ul. Pięciolinii,1,02-784
10753,Świecie,ul. Sądowa,20,86-100
10754,Łódź,ul. Podhalańska,18,93-224
10755,Pleszew,ul. Edmunda Bojanowskiego,1,63-300
10756,Wrocław,ul. Słowicza,7-9,53-320
10757,Zakrzów,,25A,24-335
10758,Zalesie,ul. Szkolna,10,21-512
10759,Drohiczyn,ul. Warszawska,51,17-312
10760,Trzcińsko-Zdrój,ul. 2 Lutego,3,74-510
10761,Rąbino,,57,78-331
10762,Rąbino,,57,78-331
10763,Poznań,ul. Henryka Wieniawskiego,5,61-712
10764,Walichnowy,ul. Szkolna,28A,98-420
10765,Czerwin,ul. Piastowska,23A,07-407
10766,Binczarowa,,26,33-332
10767,Warszawa,ul. Bolesława Chrobrego,18A,02-479
10768,Zagrodno,,136,59-516
10769,Katowice,ul. Barbary,21a,40-053
10770,Katowice,ul. Dąbrówki,13,40-081
10771,Starogard Gdański,ul. Jana Sobieskiego,6,83-200
10772,Starogard Gdański,ul. Jana Sobieskiego,6,83-200
10773,Starogard Gdański,ul. Jana Sobieskiego,6,83-200
10774,Róża,,69,39-216
10775,Czarna,ul. Konarskiego,15,39-215
10776,Głowaczowa,,6c,39-217
10777,Wrocław,ul. Pabianicka,2,53-339
10778,Kamienna Góra,ul. Papieża Jana Pawła II,17,58-400
10779,Przyszów,ul. Jana Pawła II,64,37-433
10780,Przyszów,ul. Jana Pawła II,64,37-433
10781,Poznań,ul. Żmigrodzka,41,60-171
10782,Jasło,ul. Stanisława Staszica,30D,38-200
10783,Jasło,ul. Stanisława Staszica,30A,38-200
10784,Warszawa,ul. Józefa Mehoffera,57,03-131
10785,Zalutyń,,25,21-530
10786,Warszawa,ul. Bakaliowa,5,04-222
10787,Baranów Sandomierski,ul. Fabryczna,35,39-450
10788,Kościerzyna,ul. Mestwina II,2,83-400
10789,Kopytkowo,,18,83-230
10790,Rybnik,ul. Świerklańska,42A,44-200
10791,Rybnik,ul. Gustawa Morcinka,18,44-273
10792,Rybnik,ul. Bernarda Kuglera,8a,44-207
10793,Rybnik,ul. Komisji Edukacji Narodowej,29,44-207
10794,Rybnik,ul. Stanisława Małachowskiego,44,44-251
10795,Rybnik,ul. Borki,37d,44-200
10796,Rybnik,ul. Orzepowicka,15a,44-217
10797,Rybnik,ul. Józefa Rymera,24a,44-270
10798,Kozienice,ul. Głowaczowska,41,26-900
10799,Grybów,ul. Szkolna,1,33-330
10800,Szczerców,ul. J. Piłsudskiego,66,97-420
10801,Łódź,ul. Bracka,51a,91-717
10802,Płock,ul. Brzozowa,3,09-402
10803,Lewin Brzeski,ul. Kościuszki,61,49-340
10804,Warszawa,ul. Obozowa,85,01-425
10805,Łódź,ul. płk. dr. St. Więckowskiego,41,90-734
10806,Łódź,ul. Nowa,11/13,90-031
10807,Łódź,ul. Henryka Sienkiewicza,46,90-009
10808,Rokietnica,os. Osiedle Kalinowe,13b/9,62-090
10809,Łódź,ul. Pomorska,16,91-416
10810,Łódź,ul. Deotymy,1,93-267
10811,Łódź,ul. Pomorska,105,90-225
10812,Łódź,ul. Ignacego Paderewskiego,24,93-025
10813,Łódź,al. Karola Anstadta,7,91-409
10814,Mikołajki,ul. Papieża Jana Pawła II,7,11-730
10815,Mikołajki,ul. Łabędzia,1,11-730
10816,Stare Kurowo,ul. Leśna,2a,66-540
10817,Łódź,ul. Mahatmy Gandhiego,26,91-015
10818,Gawłów,,64,32-711
10819,Łapczyca,,437,32-744
10820,Nieszkowice Wielkie,,67,32-700
10821,Proszówki,,365,32-700
10822,Baczków,,23,32-708
10823,Bogucice,,83,32-711
10824,Dąbrowa Górnicza,ul. Idzikowskiego,139 c,42-520
10825,Nieszkowice Małe,,112,32-744
10826,Siedlec,,143,32-744
10827,Stanisławice,,306,32-015
10828,Bogucice,,172,32-711
10829,Brzeźnica,,168,32-700
10830,Cikowice,,69,32-700
10831,Gawłów,,64,32-711
10832,Łapczyca,,334,32-744
10833,Nieszkowice Wielkie,,67,32-700
10834,Proszówki,,19,32-700
10835,Sokołów Dolny,,91,28-305
10836,Myślenice,ul. Stefana Żeromskiego,17,32-400
10837,Łódź,ul. Rzgowska,242,93-317
10838,Łódź,ul. Mikołaja Gogola,12,92-302
10839,Myślenice,ul. Stefana Żeromskiego,17,32-400
10840,Myślenice,ul. Stefana Żeromskiego,17,32-400
10841,Karlino,ul. Koszalińska,96A,78-230
10842,Elbląg,ul. Węgrowska,1,82-300
10843,Przyrów,ul. Świętego Mikołaja,11,42-248
10844,Przeworsk,ul. Ignacego Krasickiego,9,37-200
10845,Warszawa,ul. Jana Pawła Woronicza,8,02-625
10846,Radocza,ul. Dworska,8,34-100
10847,Ryczów,ul. Armii Krajowej,26,42-440
10848,Zagórze,,37,96-128
10849,Żarki,ul. Myszkowska,50,42-310
10850,Ryczów,,18,34-115
10851,Łódź,ul. Jesionowa,33,91-363
10852,Karlino,ul. Koszalińska,96A,78-230
10853,Kopytowa,,59,38-459
10854,Łódź,ul. Podgórna,57a,93-272
10855,Warszawa,ul. św. Wincentego,130,03-291
10856,Warszawa,ul. Wiktorska,99,02-575
10857,Kłodzko,ul. Rodzinna,61,57-300
10858,Szczerców,ul. J. Piłsudskiego,66,97-420
10859,Warszawa,ul. Skarbka z Gór,45C,03-287
10860,Kozienice,ul. Głowaczowska,41,26-900
10861,Łódź,ul. Krzemieniecka,22b,94-017
10862,Dobrowo,,24,78-220
10863,Radawnica,ul. Uniwersytecka,6,77-400
10864,Osina,,54,72-221
10865,Malbork,ul. 17 Marca,16,82-200
10866,Konin,ul. Kardynała Stefana Wyszyńskiego,3,62-510
10867,Łódź,ul. Narciarska,20,94-101
10868,Elbląg,ul. Urocza,4,82-300
10869,Katowice,ul. Leopolda Markiefki,89,40-211
10870,Wrocław,ul. Osobowicka,127,51-004
10871,Warszawa,al. Aleje Jerozolimskie,202,02-486
10872,Dębica,ul. Huberta Wagnera,4,39-200
10873,Piła,ul. Różana Droga,1A,64-920
10874,Świebodzin,ul. Nowa,46,66-200
10875,Jastrowie,ul. Wojska Polskiego,25,64-915
10876,Myślenice,ul. Stefana Żeromskiego,17,32-400
10877,Warszawa,ul. Prymulki,33,04-879
10878,Oświęcim,ul. Stanisławy Leszczyńskiej,8,32-600
10879,Wrocław,ul. Konstantego Ildefonsa Gałczyńskiego,8,52-214
10880,Środa Śląska,ul. Wrocławska,10,55-300
10881,Środa Śląska,ul. Kilińskiego,33,55-300
10882,Środa Śląska,ul. Kilińskiego,33,55-300
10883,Środa Śląska,ul. Wrocławska,12,55-300
10884,Środa Śląska,ul. Wrocławska,12,55-300
10885,Środa Śląska,ul. Wrocławska,12,55-300
10886,Środa Śląska,ul. Wrocławska,12,55-300
10887,Bydgoszcz,"ul. gen. Augusta Emila Fieldorfa ""Nila""",8,85-796
10888,Lublewo Gdańskie,ul. Szkolna,5,83-050
10889,Limanowa,ul. Marii Konopnickiej,4,34-600
10890,Dąbrowa Górnicza,ul. Mieszka I,20,42-520
10891,Wrocław,al. Jana Kasprowicza,89a,51-146
10892,Piła,ul. Różana Droga,1A,64-920
10893,Warszawa,ul. Pruszkowska,10,02-119
10894,Warszawa,ul. Lelechowska,7,02-351
10895,Warszawa,ul. Metrykantów,3,02-102
10896,Warszawa,ul. Rokosowska,2,02-348
10897,Warszawa,ul. Częstochowska,16/18,02-344
10898,Warszawa,ul. Chotomowska,3,02-345
10899,Warszawa,ul. Siewierska,5/7,02-360
10900,Suwałki,ul. Sejneńska,14,16-400
10901,Ożarów,os. Wzgórze,56,27-530
10902,Maciejowice,ul. ks. Grzegorza Piramowicza,3,08-480
10903,Stare Szpaki,,36,08-205
10904,Niechlów,ul. Szkolna,23,56-215
10905,Goworowo,ul. Ostrołęcka,27,07-440
10906,Nadarzyn,ul. Komorowska,20,05-830
10907,Bydgoszcz,ul. Mazowiecka,22,85-084
10908,Łódź,ul. Retkińska,78,94-004
10909,Niwiski,ul. Rynek,21,08-124
10910,Maków,ul. Główna,4,96-124
10911,Niechlów,ul. Szkolna,23,56-215
10912,Dąbrowice,,86,96-124
10913,Ożarów,os. Wzgórze,56,27-530
10914,Konin,ul. Poznańska,84a,62-510
10915,Lublewo Gdańskie,ul. Szkolna,5,83-050
10916,Trzebinia,ul. Grunwaldzka,93,32-541
10917,Maków,ul. Główna,4,96-124
10918,Milicz,ul. Trzebnicka,4b,56-300
10919,Imielno,ul. Kościelna,3,28-313
10920,Słomków,ul. Główna,68,96-124
10921,Kozienice,ul. Głowaczowska,50,26-900
10922,Kadcza,,89,33-389
10923,Wrocław,ul. Zielna,42,51-313
10924,Żarki,ul. Sosnowa,2,42-310
10925,Wrocław,ul. Henryka Sienkiewicza,85,50-348
10926,Warszawa,ul. Alternatywy,7,02-775
10927,Dąbrowa Górnicza,ul. Gołonoska,23,42-523
10928,Konin,ul. Kardynała Stefana Wyszyńskiego,3,62-510
10929,Wola Makowska,,25B,96-124
10930,Świerzowa Polska,ul. Szkolna,31,38-457
10931,Świerzowa Polska,ul. Szkolna,50,38-457
10932,Radlin,ul. mjr. Piotra Iwanowicza Rogozina,55,44-310
10933,Radlin,ul. Wiosny Ludów,287,44-310
10934,Ożarów,os. Wzgórze,56,27-530
10935,Brzostków,,1,28-136
10936,Nowy Korczyn,ul. Partyzantów,13,28-136
10937,Łódź,ul. Finansowa,1,93-405
10938,Łódź,ul. Nastrojowa,67,91-496
10939,Łódź,ul. Przełajowa,21,94-045
10940,Warszawa,ul. Garncarska,48,04-886
10941,Jastrowie,ul. Wojska Polskiego,25,64-915
10942,Kotuń,ul. Szkolna,2,08-130
10943,Kotuń,ul. Szkolna,2,08-130
10944,Bojmie,ul. Południowa,6,08-130
10945,Bojmie,ul. Południowa,12,08-130
10946,Raczyce,,64,28-114
10947,Żeliszew Podkościelny,,13,08-130
10948,Ostrów Lubelski,ul. Unicka,5,21-110
10949,Bolesławiec,ul. Zgorzelecka,18,59-700
10950,Ostrów Lubelski,ul. Unicka,5,21-110
10951,Ostrów Lubelski,ul. Unicka,5,21-110
10952,Starachowice,ul. Ostrowiecka,134,27-200
10953,Kobylany,,114,08-205
10954,Ożarów,os. Wzgórze,56,27-530
10955,Bolesławiec,ul. Zgorzelecka,18,59-700
10956,Łódź,ul. Mazurska,47,93-149
10957,Katowice,ul. Marcina Radockiego,280,40-645
10958,Płock,ul. Miodowa,8/1,09-400
10959,Płock,ul. Czwartaków,6,09-403
10960,Płock,ul. Łączniczek,14,09-409
10961,Elbląg,ul. Słoneczna,14,82-300
10962,Krypno Kościelne,,48,19-111
10963,Łódź,ul. Łączna,53,93-166
10964,Warszawa,ul. Zakrzewska,24 A,00-737
10965,Kotlin,ul. Marii Konopnickiej,22,63-220
10966,Parzew,,6A,63-220
10967,Kotlin,ul. Marii Konopnickiej,22,63-220
10968,Wola Książęca,,103,63-220
10969,Świebodzin,ul. Zachodnia,76a,66-200
10970,Trzcińsko-Zdrój,ul. Kościuszki,7,74-510
10971,Dębno,,69,27-530
10972,Łomża,ul. Feliksa Bernatowicza,4,18-400
10973,Łomża,ul. Przykoszarowa,22,18-400
10974,Łomża,ul. Przykoszarowa,22,18-400
10975,Łomża,ul. Mikołaja Kopernika,16,18-400
10976,Łomża,ul. Mikołaja Kopernika,16,18-400
10977,Łomża,ul. Stacha Konwy,11,18-400
10978,Łomża,ul. Stacha Konwy,11,18-400
10979,Łomża,ul. Stacha Konwy,11,18-400
10980,Łomża,ul. Zielona,21,18-400
10981,Łomża,ul. Zielona,21,18-400
10982,Łomża,ul. Zielona,21,18-400
10983,Łomża,ul. Nowogrodzka,4,18-400
10984,Łomża,ul. Nowogrodzka,4,18-400
10985,Łomża,ul. Nowogrodzka,4,18-400
10986,Łomża,ul. Marii Skłodowskiej Curie,5,18-400
10987,Łódź,ul. Hufcowa,14,94-107
10988,Bolków,ul. Niepodległości,17,59-420
10989,Bolków,ul. Niepodległości,17,59-420
10990,Bolków,ul. Niepodległości,17,59-420
10991,Zawiercie,ul. Ignacego Daszyńskiego,2,42-400
10992,Ostrzeszów,ul. Krańcowa,7,63-500
10993,Czartowczyk,,8,22-630
10994,Dobrzyca,ul. Szkolna,4a,63-330
10995,Czerników,,11,99-120
10996,Inowrocław,al. Sienkiewicza,33,88-100
10997,Inowrocław,ul. Poznańska,345,88-100
10998,Inowrocław,ul. Poznańska,345,88-100
10999,Inowrocław,al. Sienkiewicza,33,88-100
11000,Krynica-Zdrój,ul. Nadbrzeżna,3,33-380
11001,Łódź,ul. Ks. Jerzego Popiełuszki,13a,94-052
11002,Łódź,ul. Hermana Konstadta,9,91-430
11003,Warszawa,ul. bł. Ładysława z Gielniowa,9/11,02-066
11004,Niwiski,ul. Browarna,1,08-124
11005,Warszawa,ul. Mariana Langiewicza,1/3,02-071
11006,Warszawa,ul. Trzech Budrysów,24,02-381
11007,Marcyporęba,ul. św. Floriana,19,34-114
11008,Warszawa,ul. Antoniego Józefa Madalińskiego,22,02-513
11009,Sochonie,ul. Kościelna,1,16-010
11010,Czarny Potok,,111,33-390
11011,Łódź,ul. Rybna,20,91-051
11012,Bytom,ul. Powstańców Śląskich,10,41-902
11013,Bytom,ul. Powstańców Śląskich,10,41-902
11014,Bytom,ul. Powstańców Śląskich,10,41-902
11015,Bytom,ul. Stefana Żeromskiego,26,41-902
11016,Bytom,ul. Stefana Żeromskiego,26,41-902
11017,Rzeszów,ul. Ambrożego Towarnickiego,4,35-010
11018,Rzeszów,ul. Ambrożego Towarnickiego,4,35-010
11019,Rzeszów,ul. Jana III Sobieskiego,15,35-002
11020,Rzeszów,ul. Jana III Sobieskiego,15,35-002
11021,Łódź,al. ks. kard. Stefana Wyszyńskiego,62,94-047
11022,Rzeszów,ul. Jana III Sobieskiego,15,35-002
11023,Stary Sącz,ul. Daszyńskiego,15,33-340
11024,Kłobuck,ul. Krzysztofa Kamila Baczyńskiego,2,42-100
11025,Orzesze,ul. Mikołowska,208,43-180
11026,Tyszowce,ul. Kościelna,21B,22-630
11027,Wejherowo,ul. Jana III Sobieskiego,221,84-200
11028,Morakowo,,54,62-130
11029,Panigródz,,24,62-130
11030,Smogulec,,13,62-130
11031,Złotów,ul. Norwida,10,77-400
11032,Tarnówka,ul. Plac Szkolny,2,77-416
11033,Łódź,ul. Janusza Kusocińskiego,122A,94-054
11034,Warszawa,ul. Dolna,6,00-774
11035,Kiekrz,ul. Kasztanowa,4,62-090
11036,Młoszowa,ul. Kamieniec,1,32-546
11037,Warszawa,ul. Kaleńska,3,04-367
11038,Łódź,ul. Racjonalizatorów,5,91-837
11039,Słupsk,ul. Szczecińska,106,76-200
11040,Widzów,,16,42-282
11041,Ligota Polska,,3,56-400
11042,Kłodzko,ul. Jana Pawła II,4,57-300
11043,Tuszów Narodowy,,231,39-332
11044,Krosno,ul. Parkowa,2,38-400
11045,Łódź,ul. Mieszczańska,15,93-322
11046,Bytów,ul. gen. Władysława Sikorskiego,35,77-100
11047,Bytów,ul. gen. Władysława Sikorskiego,35,77-100
11048,Jasło,ul. Floriańska,24,38-200
11049,Kościerzyna,ul. Kalinowa,37,83-400
11050,Kościerzyna,ul. Kalinowa,37,83-400
11051,Moryń,ul. Dworcowa,6a,74-503
11052,Warszawa,ul. Fryderyka Joliot-Curie,14,02-646
11053,Łączany,ul. Krakowska,20,34-115
11054,Złotów,ul. Norwida,10,77-400
11055,Warszawa,ul. Miła,7,00-180
11056,Słupsk,ul. Szczecińska,106,76-200
11057,Łódź,ul. Zamknięta,1,93-323
11058,Istebna,,500,43-470
11059,Warszawa,ul. Marynarska,2/6,02-674
11060,Trawniki,,606,21-044
11061,Trawniki,,263,21-044
11062,Łódź,ul. Rydzowa,19,91-211
11063,Łódź,ul. Budowlana,11,93-356
11064,Łuków,ul. Międzyrzecka,70a,21-400
11065,Kośmidry,ul. Lubliniecka,50,42-772
11066,Gryfice,ul. 6 Marca,6,72-300
11067,Nowy Targ,ul. Kowaniec,125,34-400
11068,Warnice,,30,74-201
11069,Zawiercie,ul. Macieja Rataja,7,42-400
11070,Łódź,ul. Kolumny,301,93-642
11071,Warszawa,ul. Okrętowa,57,01-309
11072,Katowice,ul. Wincentego Witosa,18,40-832
11073,Warszawa,ul. Stanisława Noakowskiego,6,00-666
11074,Tczew,ul. Szkoły Morskiej,1,83-110
11075,Chodzież,ul. Łąkowa,1,64-800
11076,Iwonicz-Zdrój,ul. Feliksa Piwarskiego,19,38-440
11077,Jaślany,,432,39-332
11078,Kadzidło,ul. Słoneczna,2,07-420
11079,Łuków,ul. Stodolna,3,21-400
11080,Katowice,ul. Wincentego Witosa,18,40-832
11081,Katowice,ul. Wincentego Witosa,18,40-832
11082,Trzebiatów,ul. Torowa,1,72-320
11083,Pułtusk,ul. Marii Konopnickiej,9,06-100
11084,Łódź,ul. Zielna,5,91-817
11085,Kościerzyna,ul. Gen. Stanisława Maczka,30,83-400
11086,Dąbrowa Górnicza,ul. Żołnierska,188,42-525
11087,Łagiewniki Wielkie,ul. Lompy,20,42-772
11088,Katowice,ul. Graniczna,42,40-018
11089,Wadowice,ul. Spadzista,10,34-100
11090,Iwonicz,ul. Zadwór,15,38-440
11091,Warszawa,ul. Włodarzewska,71,02-384
11092,Kędzierzyn-Koźle,ul. Kozielska,3,47-224
11093,Częstochowa,ul. Tkacka,5,42-200
11094,Zawiercie,ul. Miodowa,1,42-400
11095,Ostrzeszów,ul. gen. Władysława Sikorskiego,19,63-500
11096,Pleszew,ul. Stefana Batorego,17,63-300
11097,Pleszew,ul. Słowackiego,19,63-300
11098,Starachowice,ul. Stanisława Moniuszki,117,27-200
11099,Katowice,ul. Panewnicka,154,40-772
11100,Perlejewo,,12,17-322
11101,Daleszyn,,76,63-800
11102,Kunowo,ul. Szkolna,5,63-800
11103,Sikorzyn,,16B,63-800
11104,Kędzierzyn-Koźle,ul. 1 Maja,5,47-220
11105,Białowieża,ul. Stoczek,2,17-230
11106,Chełmno,ul. Dominikańska,35,86-200
11107,Chełmno,ul. Parkowa,5,86-200
11108,Chełmno,ul. Dworcowa,20,86-200
11109,Chełmno,ul. Dworcowa,20,86-200
11110,Chełmno,ul. Dworcowa,20,86-200
11111,Gryfice,ul. Pocztowa,4,72-300
11112,Gwoździany,ul. Lubliniecka,7,42-772
11113,Pawonków,ul. Szkolna,1,42-772
11114,Dąbrowa Górnicza,ul. Górna,1,42-524
11115,Podobin,,257,34-735
11116,Ligota Mała,,15,56-400
11117,Białowieża,ul. Sportowa,10,17-230
11118,Koniecpol,ul. Chrząstowska,8,42-230
11119,Tychy,ul. Janusza Korczaka,6,43-100
11120,Tychy,ul. Cypriana Norwida,40,43-100
11121,Tychy,ul. Elfów,62,43-100
11122,Tychy,ul. Hanny i Kazimierza Wejchertów,20,43-100
11123,Tychy,al. Aleja Bielska,100,43-100
11124,Tychy,ul. Edukacji,11,43-100
11125,Tychy,al. Marszałka Piłsudskiego,10,43-100
11126,Tychy,ul. Browarowa,1a,43-100
11127,Tychy,ul. Edukacji,21,43-100
11128,Warszawa,ul. Hawajska,7,02-776
11129,Kędzierzyn-Koźle,ul. Jordanowska,14,47-223
11130,Gnojno,,148,28-114
11131,Ostrołęka,ul. Stefana Jaracza,5,07-409
11132,Serock,ul. Pułtuska,53D,05-140
11133,Gdynia,al. Zwycięstwa,194,81-540
11134,Kędzierzyn-Koźle,ul. Romana Dmowskiego,5,47-220
11135,Kośmidry,ul. Szkolna,3,42-772
11136,Kędzierzyn-Koźle,ul. Harcerska,16,47-220
11137,Łódź,ul. dr. Seweryna Sterlinga,24,90-212
11138,Łódź,ul. Henryka Sienkiewicza,137/139,90-302
11139,Łódź,al. Harcerzy - Zatorowców,6,91-144
11140,Łódź,ul. Łęczycka,23,93-193
11141,Łódź,ul. Janusza Kusocińskiego,116,94-054
11142,Łódź,ul. Wiosenna,1,93-535
11143,Łódź,ul. Stanisława Przybyszewskiego,15/21,93-188
11144,Łódź,ul. Hufcowa,20a,94-107
11145,Łódź,ul. Juliusza Jurczyńskiego,1/3,92-306
11146,Łódź,ul. inż. pilota Wigury,8/10,90-301
11147,Łódź,al. Ks. Kardynała Stefana Wyszyńskiego,100,94-050
11148,Łódź,ul. Gdańska,16,90-707
11149,Łódź,ul. Ciesielska,14a,91-308
11150,Łódź,ul. Kpt. Stefana Pogonowskiego,27/29,90-745
11151,Łódź,ul. Przędzalniana,70,90-338
11152,Warszawa,ul. Jana Cybisa,1,02-784
11153,Łódź,ul. Rysownicza,1/3,91-855
11154,Łódź,ul. Michała Lermontowa,7,92-512
11155,Łódź,ul. Mieczysławy Ćwiklińskiej,9,92-508
11156,Łódź,ul. Generała Tadeusza Kutrzeby,4,91-013
11157,Łódź,ul. płk. dr. St. Więckowskiego,35,90-734
11158,Łódź,ul. Szpitalna,9/11,92-207
11159,Łódź,ul. Krochmalna,21,93-144
11160,Łódź,ul. Ksawerego Praussa,2,94-203
11161,Łódź,ul. Rajdowa,18,94-003
11162,Łódź,ul. Przyszkole,42,93-552
11163,Łódź,ul. Janusza Kusocińskiego,100,94-054
11164,Warszawa,ul. Widok,8,00-023
11165,Samogoszcz,,2,08-480
11166,Gdynia,al. Zwycięstwa,194,81-540
11167,Pułtusk,ul. Marii Konopnickiej,9,06-100
11168,Kędzierzyn-Koźle,ul. Władysława Broniewskiego,5,47-225
11169,Starachowice,ul. Oświatowa,5,27-200
11170,Rytel,ul. ks. Antoniego Kowalkowskiego,11,89-642
11171,Kędzierzyn-Koźle,ul. Mikołaja Reja,14,47-224
11172,Łódź,ul. Bojowników Getta Warszawskiego,3,91-431
11173,Łódź,ul. kpt. pilota Żwirki,11/13,90-528
11174,Łódź,ul. Rydzowa,15,91-211
11175,Łódź,ul. Konstantego Ciołkowskiego,11a,93-510
11176,Warszawa,ul. Porajów,3,03-188
11177,Myślachowice,ul. Trzebińska,15,32-543
11178,Kędzierzyn-Koźle,ul. Bolesława Chrobrego,28,47-200
11179,Oświęcim,ul. Obozowa,31,32-600
11180,Starachowice,ul. Leśna,2,27-200
11181,Bolęcin,ul. Zakopiańska,14,32-540
11182,Oświęcim,ul. Władysława Jagiełły,10,32-600
11183,Psary,ul. Szkolna,17,32-545
11184,Miastko,ul. Armii Krajowej,30a,77-200
11185,Dulowa,ul. Paderewskiego,65,32-545
11186,Starachowice,ul. Słoneczna,1a,27-200
11187,Chojnice,ul. Grunwaldzka,6,89-600
11188,Boronów,ul. Poznańska,2,42-283
11189,Boronów,ul. Poznańska,2,42-283
11190,Tarnowskie Góry,ul. Opolska,28,42-600
11191,Kraków,ul. Telimeny,9,30-838
11192,Kartuzy,ul. dr. Aleksandra Majkowskiego,5,83-300
11193,Wrocław,ul. Januszowicka,32-34,53-135
11194,Gostyń,ul. Wrocławska,255,63-800
11195,Gostyń,ul. Starogostyńska,9,63-800
11196,Gostyń,ul. Mostowa,9,63-800
11197,Gostyń,ul. Mostowa,10,63-800
11198,Starachowice,ul. Ignacego Prądzyńskiego,2,27-200
11199,Kraków,ul. Józefa Dietla,70,31-073
11200,Mława,ul. Zuzanny Morawskiej,29b,06-500
11201,Mława,ul. Zuzanny Morawskiej,29b,06-500
11202,Polwica,,23,55-216
11203,Danielowice,,3,55-216
11204,Myszków,ul. Traugutta,43,42-300
11205,Kraków,os. Osiedle Na Wzgórzach,11,31-722
11206,Kraków,ul. Ludwinowska,6,30-331
11207,Kraków,os. Osiedle Piastów,10,31-623
11208,Kraków,ul. Mazowiecka,70,30-019
11209,Chełm,ul. Powstańców Warszawy,8,22-100
11210,Chełm,ul. Stefana Czarnieckiego,8,22-100
11211,Pęchery,ul. Bolesława Chrobrego,83,05-502
11212,Kraśnik,ul. Fabryczna,6,23-210
11213,Legionowo,ul. Jagiellońska,69,05-120
11214,Płock,ul. Narodowych Sił Zbrojnych,7,09-400
11215,Warszawa,ul. Białobrzeska,27,02-340
11216,Wrocław,ul. Kręta,1a,50-237
11217,Wrocław,ul. Koszykarska,2-4,54-134
11218,Jordanów,ul. Generała Maczka,131,34-240
11219,Teodorówka,,64,23-440
11220,Biadoliny Radłowskie,,152,32-828
11221,Wrocław,ul. Składowa,2-4,50-209
11222,Kwilcz,ul. Kardynała Stefana Wyszyńskiego,20,64-420
11223,Warszawa,ul. Spiska,1,02-302
11224,Wrocław,ul. Gdańska,26,50-344
11225,Spytkowice,ul. Szkolna,14,34-116
11226,Tychy,ul. Stefana Czarnieckiego,22,43-100
11227,Tychy,al. Niepodległości,190,43-100
11228,Gdynia,ul. Wolności,22b,81-327
11229,Wrocław,ul. Ludwika Solskiego,13,52-401
11230,Świątniki Górne,ul. Kazimierza Bruchnalskiego,35,32-040
11231,Dąbrowa,ul. Parkowa,4,46-112
11232,Świerczów,ul. Szkolna,5,46-112
11233,Oborniki,ul. Adama Mickiewicza,4,64-600
11234,Rogoźno,ul. Wojska Polskiego,1,64-610
11235,Nadarzyn,ul. Graniczna,10,05-830
11236,Wrocław,al. Ludomira Różyckiego,1a,51-608
11237,Łaziska,,30,59-700
11238,Chorzów,ul. ks. Jana Gałeczki,56,41-500
11239,Wrocław,ul. Rumiankowa,34,54-512
11240,Trzcianka,ul. Spokojna,2,64-980
11241,Wrocław,ul. Narcyzowa,6,53-225
11242,Myszków,ul. Pułaskiego,70,42-300
11243,Pabianice,ul. Jana Kilińskiego,37,95-200
11244,Kolonia Ossa,,40,26-425
11245,Muszyna,ul. Rynek,13,33-370
11246,Złockie,,69,33-370
11247,Powroźnik,,42,33-370
11248,Jastrzębik,,25,33-370
11249,Olsztynek,ul. Zamkowa,6,11-015
11250,Andrzejówka,,13,33-370
11251,Milik,,28,33-370
11252,Muszyna,ul. Kościuszki,54,33-370
11253,Milik,,28,33-370
11254,Dylewo,ul. Szkolna,1,07-420
11255,Piława Górna,ul. Tadeusza Kościuszki,1,58-240
11256,Ropczyce,ul. Robotnicza,48,39-100
11257,Wrocław,ul. Gajowicka,199,53-150
11258,Wrocław,ul. Braci Gierymskich,89,51-640
11259,Przewale,,3,22-630
11260,Łódź,ul. Wróbla,5,91-050
11261,Łódź,ul. Antoniego Mackiewicza,9,91-349
11262,Łódź,ul. Podmiejska,21,93-165
11263,Łódź,ul. Marcina Kasprzaka,45,91-078
11264,Wrocław,ul. Stabłowicka,97,54-062
11265,Wrocław,ul. Suwalska,5,54-104
11266,Tyszowce,ul. Kościelna,25,22-630
11267,Błogie Rządowe,,39,26-341
11268,Bukowiec nad Pilicą,,34,26-341
11269,Boruszowice,ul. Szkolna,2,42-690
11270,Zawiercie,ul. Macieja Rataja,29,42-400
11271,Tczew,ul. Wojska Polskiego,6,83-110
11272,Myszków,ul. Pułaskiego,70,42-300
11273,Dobre Miasto,ul. Fabryczna,6,11-040
